
COMMUNICATION WEIGHT,15

COUPLING WEIGHT,15

MICROSERVICES,M1,M2,M3,M4

COMMUNICATION COST,900,780,165,570

COUPLING COST,4065,3525,6105,1245

REPLICATION COST,705

TOTAL COST,18060

POS ENTITIES
E1,1,1,0,0
E2,1,0,0,0
E3,0,0,1,0
E4,0,0,1,0
E5,0,0,0,1
E6,1,0,0,0
E7,0,0,0,1
E8,1,0,0,0
E9,0,0,1,0
E10,0,0,0,1
E11,0,0,1,0
E12,0,1,0,0
E13,0,0,1,0
E14,0,0,0,1
E15,0,0,0,1
E16,0,0,1,0
E17,0,1,0,0
E18,0,0,1,0
E19,0,0,1,0
E20,0,1,0,0
E21,1,0,0,0
E22,0,1,0,0
E23,0,0,0,1
E24,1,0,0,0
E25,0,1,0,0
E26,0,1,0,0
E27,0,0,1,0
E28,0,0,1,0
E29,0,0,1,0
E30,1,0,0,0
E31,1,0,0,0
E32,0,0,1,0
E33,0,0,1,0
E34,0,0,1,0
E35,0,1,0,0
E36,0,0,0,1
E37,1,0,0,0
E38,0,1,0,0
E39,1,0,0,0
E40,1,1,0,0
E41,0,1,0,0
E42,0,1,0,0
E43,0,0,1,0
E44,1,0,0,0
E45,1,0,0,0

POS OPERATIONS
OP1,0,1,0,0
OP2,0,1,0,0
OP3,0,1,0,0
OP4,0,1,0,0
OP5,0,1,0,0
OP6,0,1,0,0
OP7,0,1,0,0
OP8,1,0,0,0
OP9,0,0,0,1
OP10,1,0,0,0
OP11,0,1,0,0
OP12,1,0,0,0
OP13,0,1,0,0
OP14,0,0,0,1
OP15,0,1,0,0
OP16,0,1,0,0
OP17,0,1,0,0
OP18,0,0,0,1
OP19,0,0,0,1
OP20,0,1,0,0
OP21,0,1,0,0
OP22,1,0,0,0
OP23,0,1,0,0
OP24,0,1,0,0
OP25,0,1,0,0
OP26,0,0,0,1
OP27,1,0,0,0
OP28,0,0,1,0
OP29,1,0,0,0
OP30,1,0,0,0
OP31,1,0,0,0
OP32,0,1,0,0
OP33,0,1,0,0
OP34,0,1,0,0
OP35,1,0,0,0
OP36,1,0,0,0
OP37,1,0,0,0
OP38,0,0,0,1
OP39,0,0,1,0
OP40,0,1,0,0
OP41,1,0,0,0
OP42,0,1,0,0
OP43,0,1,0,0
OP44,1,0,0,0
OP45,0,0,1,0
OP46,0,0,0,1
OP47,0,1,0,0
OP48,1,0,0,0
OP49,1,0,0,0
OP50,1,0,0,0
OP51,1,0,0,0
OP52,0,1,0,0
OP53,0,0,1,0
OP54,1,0,0,0
OP55,1,0,0,0
OP56,0,0,0,1
OP57,1,0,0,0
OP58,0,1,0,0
OP59,0,1,0,0
OP60,0,0,0,1
OP61,0,0,0,1
OP62,0,1,0,0
OP63,0,1,0,0
OP64,1,0,0,0
OP65,0,1,0,0
OP66,1,0,0,0
OP67,0,0,0,1
OP68,1,0,0,0
OP69,0,1,0,0
OP70,1,0,0,0
OP71,1,0,0,0
