
COMMUNICATION WEIGHT,5

COUPLING WEIGHT,30

MICROSERVICES,M1,M2,M3,M4

COMMUNICATION COST,1170,600,75,55

COUPLING COST,5970,8250,6270,4980

REPLICATION COST,225

TOTAL COST,27595

POS ENTITIES
E1,1,0,0,0
E2,1,0,0,0
E3,0,0,0,1
E4,0,0,0,1
E5,0,0,1,0
E6,1,0,0,0
E7,1,0,0,0
E8,1,0,0,0
E9,0,0,0,1
E10,0,0,0,1
E11,0,0,0,1
E12,0,1,0,0
E13,0,0,0,1
E14,0,0,1,0
E15,0,0,1,0
E16,0,0,0,1
E17,0,1,0,0
E18,0,0,1,0
E19,0,0,1,0
E20,0,1,0,0
E21,0,0,1,0
E22,0,1,0,0
E23,1,0,0,0
E24,1,0,0,0
E25,0,1,0,0
E26,0,1,0,0
E27,0,0,1,0
E28,0,0,1,0
E29,0,0,1,0
E30,1,0,0,0
E31,0,0,1,0
E32,0,0,1,0
E33,0,0,0,1
E34,1,0,0,0
E35,0,1,0,0
E36,0,0,0,1
E37,1,0,0,0
E38,0,1,0,0
E39,1,0,0,0
E40,0,1,0,0
E41,0,1,0,0
E42,0,1,0,0
E43,0,0,0,1
E44,0,1,0,0
E45,0,1,0,0

POS OPERATIONS
OP1,1,0,0,0
OP2,0,1,0,0
OP3,0,1,0,0
OP4,0,1,0,0
OP5,0,1,0,0
OP6,0,1,0,0
OP7,0,1,0,0
OP8,0,1,0,0
OP9,1,0,0,0
OP10,1,0,0,0
OP11,0,1,0,0
OP12,1,0,0,0
OP13,0,1,0,0
OP14,0,0,1,0
OP15,0,1,0,0
OP16,0,1,0,0
OP17,0,1,0,0
OP18,0,0,1,0
OP19,1,0,0,0
OP20,0,1,0,0
OP21,0,1,0,0
OP22,1,0,0,0
OP23,0,1,0,0
OP24,0,1,0,0
OP25,0,1,0,0
OP26,0,0,1,0
OP27,0,1,0,0
OP28,0,0,0,1
OP29,0,1,0,0
OP30,1,0,0,0
OP31,0,1,0,0
OP32,0,1,0,0
OP33,0,1,0,0
OP34,0,1,0,0
OP35,1,0,0,0
OP36,1,0,0,0
OP37,0,1,0,0
OP38,0,0,1,0
OP39,0,0,0,1
OP40,0,1,0,0
OP41,1,0,0,0
OP42,0,1,0,0
OP43,0,1,0,0
OP44,1,0,0,0
OP45,0,0,0,1
OP46,0,0,0,1
OP47,0,1,0,0
OP48,1,0,0,0
OP49,1,0,0,0
OP50,1,0,0,0
OP51,1,0,0,0
OP52,0,1,0,0
OP53,0,0,0,1
OP54,0,1,0,0
OP55,0,1,0,0
OP56,1,0,0,0
OP57,1,0,0,0
OP58,0,1,0,0
OP59,0,1,0,0
OP60,0,0,1,0
OP61,0,0,1,0
OP62,0,1,0,0
OP63,0,1,0,0
OP64,0,1,0,0
OP65,0,1,0,0
OP66,0,1,0,0
OP67,0,0,1,0
OP68,1,0,0,0
OP69,0,1,0,0
OP70,0,1,0,0
OP71,0,1,0,0
